block,registration_gap,pct_registered,total_eligible_to_vote,registered_total,hisp_registration_gap,pct_hisp_registered,total_eligible_hispanic,registered_hisp_total,registered_1824_total,registered_2534_total,registered_3544_total
060816098001002,4,0.8709677419354839,31,27,10,0.16666666666666666,12,2,3,6,6
060816098002021,4,0.2,5,1,0,NA,0,0,0,0,0
060816098003009,4,0.8974358974358975,39,35,-1,1.1,10,11,0,3,8
060816098003010,4,0.8666666666666667,30,26,4,0,4,0,1,4,12
060816099001011,4,0.8947368421052632,38,34,0,1,2,2,1,3,4
060816099001015,4,0.8918918918918919,37,33,5,0.16666666666666666,6,1,1,8,5
060816099002007,4,0.9333333333333333,60,56,-1,Inf,0,1,4,3,10
060816100001026,4,0.8857142857142857,35,31,1,0.6666666666666666,3,2,1,7,7
060816100002013,4,0.9166666666666666,48,44,3,0.6666666666666666,9,6,1,3,11
060816100003012,4,0.8857142857142857,35,31,3,0,3,0,4,0,4
060816100003014,4,0.8787878787878788,33,29,2,0.3333333333333333,3,1,1,3,4
060816101001018,4,0.9215686274509803,51,47,2,0.8888888888888888,18,16,4,13,3
060816102012009,4,0.6363636363636364,11,7,5,0.4444444444444444,9,4,1,0,4
060816102014007,4,0.8857142857142857,35,31,-3,1.3333333333333333,9,12,0,8,10
060816102022017,4,0.2,5,1,1,0,1,0,0,0,1
060816102031019,4,0.42857142857142855,7,3,3,0.25,4,1,1,0,1
060816102031035,4,0.2,5,1,4,0,4,0,0,0,0
060816103032005,4,0.7647058823529411,17,13,2,0,2,0,3,1,1
060816103032008,4,0.7647058823529411,17,13,-3,4,1,4,2,0,1
060816103042014,4,0.9629629629629629,108,104,0,1,12,12,8,9,14
060816104003004,4,0.8333333333333334,24,20,4,0.5555555555555556,9,5,0,10,4
060816107001001,4,0.7142857142857143,14,10,1,0.5,2,1,2,1,1
060816109011006,4,0.8918918918918919,37,33,11,0.5416666666666666,24,13,3,13,8
060816109012008,4,0.9310344827586207,58,54,10,0.6,25,15,5,18,11
060816110001002,4,0.8,20,16,3,0,3,0,2,4,2
060816110002003,4,0.9148936170212766,47,43,1,0.9333333333333333,15,14,7,3,8
060816110002014,4,0.8888888888888888,36,32,5,0,5,0,5,4,3
060816110004009,4,0.9365079365079365,63,59,-1,1.0833333333333333,12,13,3,11,14
060816111002009,4,0.875,32,28,5,0.16666666666666666,6,1,1,1,6
060816111002020,4,0.8823529411764706,34,30,-2,1.6666666666666667,3,5,1,3,7
060816111002021,4,0.9,40,36,-2,1.3333333333333333,6,8,4,5,8
060816111002036,4,0.8461538461538461,26,22,2,0,2,0,1,1,5
060816112001002,4,0.9333333333333333,60,56,2,0.6666666666666666,6,4,3,7,18
060816112001004,4,0.8947368421052632,38,34,-2,1.6666666666666667,3,5,5,1,4
060816112001013,4,0.9436619718309859,71,67,-4,1.8,5,9,4,9,10
060816113004004,4,0.8666666666666667,30,26,1,0.5,2,1,0,3,5
060816096032005,3,0.6666666666666666,9,6,0,NA,0,0,1,0,1
060816098001004,3,0.875,24,21,9,0.25,12,3,1,2,4
060816098002015,3,0.7692307692307693,13,10,4,0,4,0,0,3,2
060816098003007,3,0.88,25,22,2,0.6666666666666666,6,4,0,4,5
060816099002010,3,0.9523809523809523,63,60,13,0.1875,16,3,9,6,9
060816101001009,3,0.9411764705882353,51,48,-1,1.0769230769230769,13,14,2,15,12
060816102021020,3,0.9880478087649402,251,248,3,0.8333333333333334,18,15,14,166,46
060816102021025,3,0.97,100,97,-7,Inf,0,7,12,54,17
060816102022000,3,0.25,4,1,-1,Inf,0,1,1,0,0
060816102022029,3,0.8695652173913043,23,20,4,0,4,0,0,7,9
060816102032005,3,0.9629629629629629,81,78,2,0.9615384615384616,52,50,19,24,11
060816103033011,3,0.9423076923076923,52,49,5,0,5,0,11,3,11
060816103034004,3,0.9516129032258065,62,59,4,0.2,5,1,9,1,20
060816103041015,3,0.875,24,21,-3,Inf,0,3,1,4,4
060816109011014,3,0.7,10,7,4,0.3333333333333333,6,2,1,2,0
060816109012003,3,0.9090909090909091,33,30,5,0.6666666666666666,15,10,3,5,2
060816109021004,3,0.918918918918919,37,34,6,0.25,8,2,0,10,13
060816110002019,3,0.9491525423728814,59,56,12,0.42857142857142855,21,9,2,7,12
060816111002022,3,0.9166666666666666,36,33,-1,2,1,2,2,5,5
060816112002015,3,0.972972972972973,111,108,7,0.6956521739130435,23,16,8,13,22
060816112002019,3,0.9302325581395349,43,40,-6,3,3,9,4,9,5
060816096033011,2,0.967741935483871,62,60,5,0,5,0,4,4,8
060816096033014,2,0.875,16,14,1,0,1,0,0,1,5
060816097001027,2,0.8333333333333334,12,10,2,0,2,0,0,1,1
060816098003016,2,0.9565217391304348,46,44,0,NA,0,0,6,10,5
060816099001017,2,0.9710144927536232,69,67,-5,3.5,2,7,5,10,7
060816099002023,2,0.9636363636363636,55,53,3,0.7,10,7,4,8,8
060816100003006,2,0.9607843137254902,51,49,5,0.16666666666666666,6,1,1,12,7
060816101001015,2,0.9166666666666666,24,22,-2,1.4,5,7,2,2,7
060816102013008,2,0.8947368421052632,19,17,-10,3,5,15,4,8,0
060816102032007,2,0.9591836734693877,49,47,11,0.6071428571428571,28,17,10,13,7
060816103031003,2,0.9393939393939394,33,31,-2,Inf,0,2,4,3,4
060816103032011,2,0.9259259259259259,27,25,2,0,2,0,4,2,4
060816103033007,2,0.9411764705882353,34,32,-6,Inf,0,6,3,6,10
060816103043018,2,0.3333333333333333,3,1,1,0,1,0,0,1,0
060816104002008,2,0.9574468085106383,47,45,-1,1.0434782608695652,23,24,4,12,4
060816104003009,2,0.9775280898876404,89,87,6,0.8636363636363636,44,38,10,22,15
060816107002001,2,0.9583333333333334,48,46,-19,2.9,10,29,9,12,4
060816109012000,2,0.9354838709677419,31,29,7,0.36363636363636365,11,4,5,5,8
060816109021003,2,0.9166666666666666,24,22,-2,1.6666666666666667,3,5,1,4,5
060816109022003,2,0.967741935483871,62,60,-8,1.6153846153846154,13,21,7,12,19
060816109022006,2,0.9473684210526315,38,36,0,1,10,10,6,7,5
060816110002011,2,0.9354838709677419,31,29,14,0.2222222222222222,18,4,6,3,6
060816111002033,2,0.9672131147540983,61,59,-4,2.3333333333333335,3,7,3,10,17
060816112001007,2,0.9555555555555556,45,43,5,0.5,10,5,4,9,6
060816112002012,2,0.9726027397260274,73,71,1,0.9090909090909091,11,10,4,7,18
060816112002014,2,0.9736842105263158,76,74,12,0.14285714285714285,14,2,7,6,24
060816112002018,2,0.9565217391304348,46,44,-1,1.1666666666666667,6,7,2,8,8
060816113004012,2,0.8,10,8,2,0,2,0,2,0,4
060816113004014,2,0.9393939393939394,33,31,-2,1.3333333333333333,6,8,2,5,3
060816097001000,1,0.9285714285714286,14,13,2,0,2,0,0,4,1
060816097002048,1,0.9230769230769231,13,12,0,NA,0,0,1,1,1
060816098003015,1,0.9523809523809523,21,20,-1,Inf,0,1,2,4,1
060816099001004,1,0.975,40,39,1,0,1,0,3,1,8
060816099001010,1,0.9629629629629629,27,26,3,0,3,0,6,2,4
060816099002026,1,0.9743589743589743,39,38,-1,1.25,4,5,4,5,0
060816102014010,1,0.9838709677419355,62,61,-16,1.8888888888888888,18,34,6,16,7
060816102022034,1,0.6666666666666666,3,2,-2,Inf,0,2,1,0,0
060816102031006,1,0.9696969696969697,33,32,2,0.92,25,23,5,4,5
060816102031031,1,0.9565217391304348,23,22,1,0.9411764705882353,17,16,6,6,1
060816103031007,1,0.9917355371900827,121,120,-9,10,1,10,15,10,17
060816103032019,1,0.9090909090909091,11,10,0,NA,0,0,2,1,0
060816103034002,1,0.96,25,24,-1,Inf,0,1,3,0,4
060816109022004,1,0.9827586206896551,58,57,4,0.7894736842105263,19,15,7,15,9
060816109022016,1,0.9736842105263158,38,37,1,0.9090909090909091,11,10,4,8,8
060816109022019,1,0.9375,16,15,1,0.5,2,1,0,3,4
060816110001004,1,0.9565217391304348,23,22,-1,1.5,2,3,3,2,4
060816110001009,1,0.9705882352941176,34,33,11,0.21428571428571427,14,3,1,5,7
060816110002007,1,0.96875,32,31,10,0.4444444444444444,18,8,9,8,4
060816110002017,1,0.972972972972973,37,36,4,0.6666666666666666,12,8,5,4,5
060816111002003,1,0.9696969696969697,33,32,2,0.3333333333333333,3,1,2,5,2
060816111002008,1,0.96875,32,31,0,1,1,1,1,5,6
060816112002006,1,0.9743589743589743,39,38,3,0.5,6,3,11,2,4
060816112002010,1,0.9876543209876543,81,80,3,0.7857142857142857,14,11,6,13,13
060816112002011,1,0.9782608695652174,46,45,6,0.25,8,2,3,6,9
060816097002037,0,1,6,6,3,0,3,0,0,1,3
060816097002049,0,1,7,7,-1,Inf,0,1,0,0,2
060816098002010,0,1,39,39,2,0.5,4,2,5,4,5
060816098003002,0,1,39,39,5,0.5,10,5,4,6,6
060816098004014,0,1,48,48,1,0.5,2,1,5,2,7
060816099001005,0,1,29,29,3,0,3,0,1,3,4
060816100001027,0,1,26,26,-1,1.5,2,3,4,1,5
060816100002005,0,1,59,59,-8,5,2,10,4,6,4
060816100002014,0,1,31,31,1,0.75,4,3,1,4,8
060816101001003,0,1,27,27,0,1,7,7,3,3,4
060816101001004,0,1,23,23,0,1,8,8,1,3,6
060816102021016,0,1,4,4,2,0,2,0,0,3,1
060816102031029,0,1,4,4,1,0.6666666666666666,3,2,1,1,0
060816103031002,0,1,26,26,1,0,1,0,4,1,5
060816103032003,0,1,13,13,0,NA,0,0,0,0,4
060816107003003,0,1,50,50,-1,1.2,5,6,6,2,11
060816109011009,0,1,24,24,1,0.9,10,9,3,9,0
060816110002006,0,1,29,29,13,0.23529411764705882,17,4,0,8,5
060816110002008,0,1,45,45,15,0.53125,32,17,5,11,11
060816110004010,0,1,59,59,-7,1.875,8,15,3,19,10
060816111001012,0,1,22,22,4,0,4,0,3,1,3
060816111001026,0,1,34,34,-2,Inf,0,2,0,4,6
060816111002001,0,1,23,23,3,0,3,0,0,4,5
060816111002026,0,1,27,27,1,0.8,5,4,0,0,8
060816111002029,0,1,59,59,-2,1.5,4,6,8,10,2
060816111002037,0,1,65,65,0,NA,0,0,5,9,10
060816112001010,0,1,36,36,3,0.4,5,2,4,7,4
060816112001012,0,1,36,36,2,0.3333333333333333,3,1,3,3,3
060816112002020,0,1,33,33,5,0.5,10,5,6,3,3
060816113004002,0,1,14,14,2,0,2,0,2,2,1
060816097002044,-1,1.0357142857142858,28,29,4,0.3333333333333333,6,2,3,1,7
060816099001013,-1,1.0357142857142858,28,29,0,1,1,1,1,5,6
060816099002017,-1,1.0227272727272727,44,45,4,0.2,5,1,9,5,4
060816100001025,-1,1.0833333333333333,12,13,-4,Inf,0,4,3,2,2
060816100002008,-1,1.02,50,51,1,0.9230769230769231,13,12,7,8,6
060816101001000,-1,1.0344827586206897,29,30,-5,2.25,4,9,1,5,7
060816101001002,-1,1.0303030303030303,33,34,-1,1.2,5,6,2,6,5
060816101001008,-1,1.027027027027027,37,38,-1,1.1428571428571428,7,8,1,11,12
060816102014005,-1,Inf,0,1,0,NA,0,0,0,0,0
060816102022018,-1,1.0128205128205128,78,79,1,0.8888888888888888,9,8,15,41,17
060816102022050,-1,Inf,0,1,0,NA,0,0,0,1,0
060816102031036,-1,Inf,0,1,0,NA,0,0,0,1,0
060816102032009,-1,1.0277777777777777,36,37,18,0.3333333333333333,27,9,7,12,5
060816103031013,-1,1.0416666666666667,24,25,-3,Inf,0,3,4,1,5
060816103041010,-1,1.03125,32,33,-1,1.3333333333333333,3,4,6,0,9
060816103042003,-1,Inf,0,1,0,NA,0,0,0,0,0
060816105001008,-1,Inf,0,1,0,NA,0,0,0,0,0
060816107001009,-1,1.0384615384615385,26,27,-1,1.25,4,5,0,5,3
060816110001001,-1,1.0625,16,17,1,0.8571428571428571,7,6,2,4,3
060816110002018,-1,1.0238095238095237,42,43,9,0.47058823529411764,17,8,7,12,7
060816111002016,-1,1.024390243902439,41,42,-5,Inf,0,5,2,5,9
